name,good,da,bad,da2
food,4,NOUN,4.0,NOUN
food,4,NOUN,3.0,NOUN
food,4,NOUN,3.0,NOUN
food,4,NOUN,1.0,NOUN
food,4,NOUN,1.0,NOUN
food,4,NOUN,1.0,NOUN
food,4,NOUN,1.0,NOUN
food,4,NOUN,1.0,NOUN
food,3,NOUN,4.0,NOUN
food,3,NOUN,3.0,NOUN
food,3,NOUN,3.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
years,2,NOUN,0.0,0
group,2,NOUN,0.0,0
name,2,NOUN,0.0,0
experience,2,NOUN,1.0,NOUN
experience,2,NOUN,1.0,NOUN
night,2,NOUN,1.0,NOUN
space,1,NOUN,0.0,0
breakfast,1,NOUN,0.0,0
