,costofrevtorevenue,ocfgrowth,ocflesscapextointerestex
0,1.0,0.240422982950224,0.7960335716962524
1,0.9915033797051364,0.240422982950224,0.7759058161045757
2,0.04341638983732121,0.240422982950224,0.6351051100009936
3,0.02049538207069901,0.240422982950224,1.0
4,0.01496033524457241,0.2744632358565237,0.5799526235117062
5,0.028049473523718227,0.09802998127352087,0.7960335716962524
6,0.04318537786628118,1.0,0.8837929765057224
7,0.027836942510361062,0.10876440473602024,0.01
8,0.051524910020837485,0.5968495857228431,0.9938458470104492
9,0.03363996322289431,0.01,0.7960335716962524
10,0.04354575654110393,0.5474796599842041,0.7960335716962524
11,0.004005747577839891,0.16910466116588874,0.7960335716962524
12,0.08973891027032987,0.1533186432025631,0.7960335716962524
13,0.13573801394388285,0.3240815302257748,0.7960335716962524
14,0.11367637070953007,0.14649280289585792,0.7960335716962524
15,0.0727271887229195,0.21642833877481216,0.7960335716962524
16,0.09610560019220182,0.2109062189270647,0.9931236627931714
17,0.08095121489195556,0.8212854494655777,0.8104570348837244
18,0.08369563710791494,0.25730345576159364,0.8336825394933962
19,0.01,0.3572842909849062,0.8016190647967151
20,0.016494254732279945,0.5467229520975118,0.8632547795505594
21,0.012423823802549805,0.2694898473950943,0.8051239451672003
22,0.054948507431655365,0.4589714788590169,0.8294371193901106
23,0.03637052472059077,0.21072230582342796,0.7952267715615169
24,0.10027305614976978,0.18163653442397812,0.8081968991937355
25,0.09413275795951748,0.26939101558706524,0.8013369314958319
26,0.12211292789192375,0.003077966264836585,0.7927555173520104
27,0.13872268860972348,0.34417962294376125,0.8021257973891717
28,0.24410110931948514,0.005203279840975322,0.8011330348184871
