,opextorevenue,netnonopex,dfcfnwc
0,0.3198950331195902,0.4780676237007645,1.0
1,0.3442180037951734,0.4898493465960888,1.0
2,0.29116317129776603,0.4562335575096566,1.0
3,0.2594191550448295,0.4201506538031399,0.6888408789151801
4,0.2637504497068968,0.4103033943755599,0.7309468137625537
5,0.2550032096727544,0.4267845600152569,0.6971864046464575
6,0.24389280398422675,0.4336374432600965,0.7715440817518975
7,0.21475179706403116,1.0,0.7253223578628287
8,0.12399918170980315,0.3946140991905674,0.6109918458784683
9,0.21354552444641928,0.4036411828368796,0.4871945633076178
10,0.19689755147821295,0.3986302617316496,0.8280256518567529
11,0.011082188785191516,0.4127616061919438,0.730171969756919
12,0.1467561142502416,0.3708288418422511,0.6511150916526003
13,0.18783992550737505,0.3941536685399949,0.4844826092878963
14,0.11599263538822925,0.4367951040488234,0.4799201454664824
15,0.06561840870773605,0.42552251772566174,0.4918253957177642
16,0.12392158522562945,0.3197582477589587,0.5073405074541205
17,0.183346383651126,0.4086592102159153,0.4936394422721325
18,0.15580668599524514,0.33679945165116865,0.3461866279998456
19,0.08820603982815878,0.2261279003927174,0.2977771092713377
20,0.002003400136851852,0.30752467763366986,0.17627245337598285
21,0.0014813874251369266,0.2774668561193939,0.342494724208292
22,0.018079980812505614,0.2035242407175995,0.16608553365484413
23,0.01,0.07889808361760753,0.31168783812543865
24,0.019794157690164127,0.13278208343891273,0.4040355698793505
25,0.31191670370135216,0.04295295379257241,0.4143136477187993
26,0.9999999999999998,0.01,0.32530230309503216
27,0.6097813895414046,0.3116955014372438,0.27545248609722683
28,0.7829626337657574,0.30316980932310383,0.2262909128926617
29,0.6317129776592669,0.3839599583029403,0.19263533561262192
30,0.5005749194054699,0.2102348387947776,0.01
31,0.3745652833329805,0.2450928284961899,0.20955428237095172
32,0.69185730711983,0.1938402658960059,0.016299071553822042
