,profitability,solvency,liquidity,valuation,efficiency
0,0.39879629964824365,2.2667513734409632,1.7010067818502976,1.402122333375407,2.033773643449349
1,0.16314830112165943,2.2197007566871023,1.6234295269093366,1.402122333375407,2.036957170625252
2,0.08453715163584698,2.234197064949527,1.5985055165023456,1.402122333375407,2.0305538510087078
3,-0.17775108887088628,1.234717831709927,0.8974733328577388,0.7160902748541251,2.027182389748493
4,-0.2310288145960186,1.1824287453477167,0.9462240666692958,0.6039984940304862,2.027690836873071
5,-0.06950137706369483,0.19726031146191425,-0.19852879046410327,0.1464762554605252,-0.4508047005305704
6,-0.08410116537281856,0.04312167951501626,-0.18783082504719187,-0.08068768384636402,-0.198542746324702
7,-0.05048056940264443,-0.1886900367286367,-0.37092016129580246,-0.16963493813683664,-0.3312575728488707
8,-0.3170720385760907,-0.06614423352060374,-0.5617514756691573,-0.09533706740480305,-0.45634936169546864
9,-0.23162417942816863,-0.1843812788206117,-0.34725569533705314,-0.18465898740939926,-0.5760076128125025
10,-0.28477153251869136,-0.5588178766140522,-0.40302860618323033,-0.3902557350278107,-0.48485934193724856
11,-0.7092016668185612,-0.5990106293276806,-0.6420010796588501,-0.2084942856860883,-0.6431305754092209
12,-0.40674193748651744,-0.4572083707224923,-0.7010602388952495,0.018780429599499524,-0.5058240468887889
13,-0.11618898143176946,-0.37802459605205135,-0.1389732984178761,0.08657204558276978,-0.4050329041069029
14,-0.3998958241692611,-0.09822906731895917,-0.3890958930234354,0.026290238724933888,-0.582119609131471
15,-0.5677991468531334,-0.22421676861475862,-0.26182704702562504,-0.056784821683414956,-0.603284078968126
16,-0.4211690745674106,-0.39125607956818237,-0.3545014859897458,-0.20411970995833884,-0.5252870679563946
17,-0.2928568263520082,-0.5967028507264134,-0.3254751330390614,-0.43943476566516104,-0.49584052450521837
18,-0.2656948210025716,-0.5729494355393765,-0.6502152646923387,-0.4828443396713108,-0.5239642891179217
19,-0.6481609079223142,-0.7154909533779971,-0.8285195800709662,-0.48745122741419117,-0.6512884753644462
20,-0.9925636690250372,-0.8385171957107451,-0.7227786786084052,-0.5949724240040674,-0.8201340173815103
21,-0.7745065557158187,-1.0253863438988717,-0.4010549840128534,-0.5878880196396711,-0.7323103097994773
22,-0.8141810630355025,-0.909976179857074,-0.7761256392891005,-0.49522548107414543,-0.7727274357461132
23,-0.9587042671586116,-0.9144349402333711,-0.709106780800056,-0.39623829983816694,-0.7620982981034475
24,-0.9903550105289627,-1.15518045298842,-0.921773947785715,-0.5881758406108568,-0.7222435794987415
25,0.3324036119174995,-0.2718813789256713,-0.04416849685258378,-0.15809419530112917,-0.3334666573184611
26,2.502524705488714,0.0690947409295293,0.9767477582474777,-0.150303856170757,0.5455274995157807
27,1.2919332890364963,0.02352200249293727,0.8251418752037716,-0.011084784121234694,0.18927255461886014
28,1.7010859026083285,0.09539551453729671,0.5912438788053046,-0.08666819159465813,0.4189818228370958
29,1.4157488454180844,0.09139761996168838,0.47055295523077767,-0.027165577174352463,0.3223494085386296
30,0.4590247412285245,0.08068249357686637,0.015280565158964062,-0.11236736274015123,-0.015546327882163738
31,0.30315180057430635,-0.008747346129140847,0.10420301029529047,-0.023206744220937697,-0.18605100903375338
32,1.1519958692187837,0.4169758800646262,0.1861838344278026,0.2265196000152873,0.1458813651462815
