,dpo,invturnover,dio
0,0.01,0.01,0.01
1,0.01,0.01,0.01
2,0.01,0.01,0.01
3,0.01,0.01,0.01
4,0.01,0.01,0.01
5,0.7443854778055037,0.9509657618178711,0.7698342915116672
6,0.8568305626823182,0.7328048048906753,1.0
7,0.7894492672125961,0.9206426934457588,0.7952992898207641
8,0.8916107264611814,0.9094156341239218,0.8051403449442001
9,0.8007802340702209,0.9538163125371212,0.7675008454514709
10,0.8064597757705689,0.8589665457937846,0.8526208995603651
11,0.8760552490071345,0.8850295748360413,0.8274264457220155
12,0.998320036551506,0.9318751143049988,0.7856611430503888
13,0.8787192914631146,0.91268259758147,0.8022658099425092
14,0.8552771236776437,0.8805991577620466,0.8316198850185998
15,0.9208308438477488,0.9083993249228683,0.8060534325329725
16,0.9999999999999998,0.9199004183786356,0.7959418329387892
17,0.8321161213228833,0.8949186327126459,0.818261751775448
18,0.8225283801356623,0.8598797943314254,0.8517416300304361
19,0.8780655818367129,0.9149731655052982,0.8002367264119039
20,0.9270727164095174,0.9205026977469032,0.7954007439972944
21,0.7089164587214001,0.9763305995449842,0.7497463645586742
22,0.7566864653990791,0.9219413769500359,0.7941832938789313
23,0.8174814606544125,0.9272403630833129,0.7896178559350692
24,0.8283203880082943,0.9140491938928516,0.8010483598241459
25,0.7808034302182546,1.0,0.7319242475481906
26,0.7864056514251573,0.9000251992257942,0.8135948596550556
27,0.8233648472920253,0.8676796398000027,0.8440311126141358
28,0.8052156187396758,0.8024172193518141,0.9129523165370308
29,0.8512213123396477,0.9791102588252396,0.7476158268515386
30,0.8006677678979369,0.8691892104421303,0.8425769360838687
31,0.7542825009665061,0.876250355201853,0.8357456881974974
32,0.7643903982005412,0.8056180571813921,0.9092999661819409
